,Book Title,Source,Chapters in Book,Chapters Covered,Percentage Covered
590,henry iv part 1,sparknotes,19,15,0.7894736842105263
591,henry iv part 1,thebestnotes,19,0,0.0
592,a room with a view,bookwolf,20,0,0.0
593,a room with a view,cliffnotes,20,0,0.0
594,a room with a view,gradesaver,20,17,0.85
595,a room with a view,novelguide,20,17,0.85
596,a room with a view,pinkmonkey,20,0,0.0
597,a room with a view,shmoop,20,20,1.0
598,a room with a view,sparknotes,20,20,1.0
599,a room with a view,thebestnotes,20,0,0.0
600,mary barton,bookwolf,33,0,0.0
601,mary barton,cliffnotes,33,0,0.0
602,mary barton,gradesaver,33,33,1.0
603,mary barton,novelguide,33,0,0.0
604,mary barton,pinkmonkey,33,0,0.0
605,mary barton,shmoop,33,0,0.0
606,mary barton,sparknotes,33,0,0.0
607,mary barton,thebestnotes,33,0,0.0
608,coriolanus,bookwolf,29,0,0.0
609,coriolanus,cliffnotes,29,0,0.0
610,coriolanus,gradesaver,29,29,1.0
611,coriolanus,novelguide,29,28,0.9655172413793104
612,coriolanus,pinkmonkey,29,29,1.0
613,coriolanus,shmoop,29,29,1.0
614,coriolanus,sparknotes,29,21,0.7241379310344828
615,coriolanus,thebestnotes,29,0,0.0
616,around the world in eighty days,bookwolf,37,0,0.0
617,around the world in eighty days,cliffnotes,37,0,0.0
618,around the world in eighty days,gradesaver,37,37,1.0
619,around the world in eighty days,novelguide,37,37,1.0
620,around the world in eighty days,pinkmonkey,37,37,1.0
621,around the world in eighty days,shmoop,37,37,1.0
622,around the world in eighty days,sparknotes,37,0,0.0
623,around the world in eighty days,thebestnotes,37,37,1.0
624,narrative of the life of frederick douglass: an american slave,bookwolf,11,0,0.0
625,narrative of the life of frederick douglass: an american slave,cliffnotes,11,11,1.0
626,narrative of the life of frederick douglass: an american slave,gradesaver,11,0,0.0
627,narrative of the life of frederick douglass: an american slave,novelguide,11,0,0.0
628,narrative of the life of frederick douglass: an american slave,pinkmonkey,11,0,0.0
629,narrative of the life of frederick douglass: an american slave,shmoop,11,0,0.0
630,narrative of the life of frederick douglass: an american slave,sparknotes,11,0,0.0
631,narrative of the life of frederick douglass: an american slave,thebestnotes,11,0,0.0
632,the garden party,bookwolf,15,0,0.0
633,the garden party,cliffnotes,15,0,0.0
634,the garden party,gradesaver,15,15,1.0
635,the garden party,novelguide,15,0,0.0
636,the garden party,pinkmonkey,15,0,0.0
637,the garden party,shmoop,15,0,0.0
638,the garden party,sparknotes,15,0,0.0
639,the garden party,thebestnotes,15,0,0.0
640,looking backward: 2000-1887,bookwolf,28,0,0.0
641,looking backward: 2000-1887,cliffnotes,28,0,0.0
642,looking backward: 2000-1887,gradesaver,28,0,0.0
643,looking backward: 2000-1887,novelguide,28,0,0.0
644,looking backward: 2000-1887,pinkmonkey,28,0,0.0
645,looking backward: 2000-1887,shmoop,28,0,0.0
646,looking backward: 2000-1887,sparknotes,28,28,1.0
647,looking backward: 2000-1887,thebestnotes,28,28,1.0
648,what maisie knew,bookwolf,31,0,0.0
649,what maisie knew,cliffnotes,31,0,0.0
650,what maisie knew,gradesaver,31,31,1.0
651,what maisie knew,novelguide,31,0,0.0
652,what maisie knew,pinkmonkey,31,0,0.0
653,what maisie knew,shmoop,31,31,1.0
654,what maisie knew,sparknotes,31,0,0.0
655,what maisie knew,thebestnotes,31,0,0.0
656,the vicar of wakefield,bookwolf,32,0,0.0
657,the vicar of wakefield,cliffnotes,32,0,0.0
658,the vicar of wakefield,gradesaver,32,32,1.0
659,the vicar of wakefield,novelguide,32,0,0.0
660,the vicar of wakefield,pinkmonkey,32,0,0.0
661,the vicar of wakefield,shmoop,32,0,0.0
662,the vicar of wakefield,sparknotes,32,0,0.0
663,the vicar of wakefield,thebestnotes,32,0,0.0
664,utilitarianism,bookwolf,5,0,0.0
665,utilitarianism,cliffnotes,5,0,0.0
666,utilitarianism,gradesaver,5,5,1.0
667,utilitarianism,novelguide,5,0,0.0
668,utilitarianism,pinkmonkey,5,0,0.0
669,utilitarianism,shmoop,5,0,0.0
670,utilitarianism,sparknotes,5,0,0.0
671,utilitarianism,thebestnotes,5,0,0.0
672,where angels fear to tread,bookwolf,10,0,0.0
673,where angels fear to tread,cliffnotes,10,0,0.0
674,where angels fear to tread,gradesaver,10,0,0.0
675,where angels fear to tread,novelguide,10,0,0.0
676,where angels fear to tread,pinkmonkey,10,0,0.0
677,where angels fear to tread,shmoop,10,10,1.0
678,where angels fear to tread,sparknotes,10,0,0.0
679,where angels fear to tread,thebestnotes,10,0,0.0
680,heart of darkness,bookwolf,3,0,0.0
681,heart of darkness,cliffnotes,3,3,1.0
682,heart of darkness,gradesaver,3,3,1.0
683,heart of darkness,novelguide,3,3,1.0
684,heart of darkness,pinkmonkey,3,3,1.0
685,heart of darkness,shmoop,3,3,1.0
686,heart of darkness,sparknotes,3,3,1.0
687,heart of darkness,thebestnotes,3,0,0.0
688,a hero of our time,bookwolf,36,0,0.0
689,a hero of our time,cliffnotes,36,0,0.0
690,a hero of our time,gradesaver,36,36,1.0
691,a hero of our time,novelguide,36,0,0.0
692,a hero of our time,pinkmonkey,36,0,0.0
693,a hero of our time,shmoop,36,0,0.0
694,a hero of our time,sparknotes,36,0,0.0
695,a hero of our time,thebestnotes,36,0,0.0
696,green mansions,bookwolf,23,0,0.0
697,green mansions,cliffnotes,23,23,1.0
698,green mansions,gradesaver,23,0,0.0
699,green mansions,novelguide,23,0,0.0
700,green mansions,pinkmonkey,23,0,0.0
701,green mansions,shmoop,23,0,0.0
702,green mansions,sparknotes,23,0,0.0
703,green mansions,thebestnotes,23,0,0.0
704,the phantom of the opera,bookwolf,26,0,0.0
705,the phantom of the opera,cliffnotes,26,0,0.0
706,the phantom of the opera,gradesaver,26,26,1.0
707,the phantom of the opera,novelguide,26,0,0.0
708,the phantom of the opera,pinkmonkey,26,0,0.0
709,the phantom of the opera,shmoop,26,0,0.0
710,the phantom of the opera,sparknotes,26,0,0.0
711,the phantom of the opera,thebestnotes,26,0,0.0
712,leviathan,bookwolf,41,0,0.0
713,leviathan,cliffnotes,41,0,0.0
714,leviathan,gradesaver,41,31,0.7560975609756098
715,leviathan,novelguide,41,0,0.0
716,leviathan,pinkmonkey,41,0,0.0
717,leviathan,shmoop,41,41,1.0
718,leviathan,sparknotes,41,0,0.0
719,leviathan,thebestnotes,41,0,0.0
720,the goose girl,bookwolf,22,0,0.0
721,the goose girl,cliffnotes,22,0,0.0
722,the goose girl,gradesaver,22,0,0.0
723,the goose girl,novelguide,22,0,0.0
724,the goose girl,pinkmonkey,22,0,0.0
725,the goose girl,shmoop,22,22,1.0
726,the goose girl,sparknotes,22,0,0.0
727,the goose girl,thebestnotes,22,0,0.0
728,the canterville ghost,bookwolf,7,0,0.0
729,the canterville ghost,cliffnotes,7,0,0.0
730,the canterville ghost,gradesaver,7,7,1.0
731,the canterville ghost,novelguide,7,0,0.0
732,the canterville ghost,pinkmonkey,7,0,0.0
733,the canterville ghost,shmoop,7,0,0.0
734,the canterville ghost,sparknotes,7,0,0.0
735,the canterville ghost,thebestnotes,7,0,0.0
736,villette,bookwolf,39,0,0.0
737,villette,cliffnotes,39,0,0.0
738,villette,gradesaver,39,39,1.0
739,villette,novelguide,39,0,0.0
740,villette,pinkmonkey,39,0,0.0
741,villette,shmoop,39,0,0.0
742,villette,sparknotes,39,0,0.0
743,villette,thebestnotes,39,0,0.0
744,from the earth to the moon,bookwolf,28,0,0.0
745,from the earth to the moon,cliffnotes,28,0,0.0
746,from the earth to the moon,gradesaver,28,0,0.0
747,from the earth to the moon,novelguide,28,0,0.0
748,from the earth to the moon,pinkmonkey,28,0,0.0
749,from the earth to the moon,shmoop,28,28,1.0
750,from the earth to the moon,sparknotes,28,0,0.0
751,from the earth to the moon,thebestnotes,28,0,0.0
752,the power and the glory,bookwolf,4,0,0.0
753,the power and the glory,cliffnotes,4,4,1.0
754,the power and the glory,gradesaver,4,0,0.0
755,the power and the glory,novelguide,4,0,0.0
756,the power and the glory,pinkmonkey,4,0,0.0
757,the power and the glory,shmoop,4,4,1.0
758,the power and the glory,sparknotes,4,4,1.0
759,the power and the glory,thebestnotes,4,0,0.0
760,notes from underground,bookwolf,21,0,0.0
761,notes from underground,cliffnotes,21,0,0.0
762,notes from underground,gradesaver,21,0,0.0
763,notes from underground,novelguide,21,21,1.0
764,notes from underground,pinkmonkey,21,21,1.0
765,notes from underground,shmoop,21,21,1.0
766,notes from underground,sparknotes,21,0,0.0
767,notes from underground,thebestnotes,21,0,0.0
768,on liberty,bookwolf,5,0,0.0
769,on liberty,cliffnotes,5,0,0.0
770,on liberty,gradesaver,5,5,1.0
771,on liberty,novelguide,5,0,0.0
772,on liberty,pinkmonkey,5,0,0.0
773,on liberty,shmoop,5,0,0.0
774,on liberty,sparknotes,5,0,0.0
775,on liberty,thebestnotes,5,0,0.0
776,the marrow of tradition,bookwolf,37,0,0.0
777,the marrow of tradition,cliffnotes,37,0,0.0
778,the marrow of tradition,gradesaver,37,37,1.0
779,the marrow of tradition,novelguide,37,0,0.0
780,the marrow of tradition,pinkmonkey,37,0,0.0
781,the marrow of tradition,shmoop,37,0,0.0
782,the marrow of tradition,sparknotes,37,0,0.0
783,the marrow of tradition,thebestnotes,37,0,0.0
784,the return of the native,bookwolf,48,0,0.0
785,the return of the native,cliffnotes,48,48,1.0
786,the return of the native,gradesaver,48,0,0.0
787,the return of the native,novelguide,48,0,0.0
788,the return of the native,pinkmonkey,48,0,0.0
789,the return of the native,shmoop,48,48,1.0
790,the return of the native,sparknotes,48,48,1.0
791,the return of the native,thebestnotes,48,0,0.0
792,return of the native,bookwolf,46,0,0.0
793,return of the native,cliffnotes,46,0,0.0
794,return of the native,gradesaver,46,0,0.0
795,return of the native,novelguide,46,0,0.0
796,return of the native,pinkmonkey,46,46,1.0
797,return of the native,shmoop,46,0,0.0
798,return of the native,sparknotes,46,0,0.0
799,return of the native,thebestnotes,46,0,0.0
800,the wind in the willows,bookwolf,12,0,0.0
801,the wind in the willows,cliffnotes,12,0,0.0
802,the wind in the willows,gradesaver,12,12,1.0
803,the wind in the willows,novelguide,12,0,0.0
804,the wind in the willows,pinkmonkey,12,0,0.0
805,the wind in the willows,shmoop,12,0,0.0
806,the wind in the willows,sparknotes,12,0,0.0
807,the wind in the willows,thebestnotes,12,0,0.0
808,howards end,bookwolf,44,0,0.0
809,howards end,cliffnotes,44,0,0.0
810,howards end,gradesaver,44,44,1.0
811,howards end,novelguide,44,0,0.0
812,howards end,pinkmonkey,44,0,0.0
813,howards end,shmoop,44,44,1.0
814,howards end,sparknotes,44,44,1.0
815,howards end,thebestnotes,44,0,0.0
816,the secret agent,bookwolf,13,0,0.0
817,the secret agent,cliffnotes,13,0,0.0
818,the secret agent,gradesaver,13,13,1.0
819,the secret agent,novelguide,13,0,0.0
820,the secret agent,pinkmonkey,13,0,0.0
821,the secret agent,shmoop,13,13,1.0
822,the secret agent,sparknotes,13,0,0.0
823,the secret agent,thebestnotes,13,0,0.0
824,the confidence-man,bookwolf,45,0,0.0
825,the confidence-man,cliffnotes,45,0,0.0
826,the confidence-man,gradesaver,45,0,0.0
827,the confidence-man,novelguide,45,0,0.0
828,the confidence-man,pinkmonkey,45,0,0.0
829,the confidence-man,shmoop,45,45,1.0
830,the confidence-man,sparknotes,45,0,0.0
831,the confidence-man,thebestnotes,45,0,0.0
832,the pickwick papers,bookwolf,57,0,0.0
833,the pickwick papers,cliffnotes,57,57,1.0
834,the pickwick papers,gradesaver,57,0,0.0
835,the pickwick papers,novelguide,57,0,0.0
836,the pickwick papers,pinkmonkey,57,0,0.0
837,the pickwick papers,shmoop,57,0,0.0
838,the pickwick papers,sparknotes,57,0,0.0
839,the pickwick papers,thebestnotes,57,0,0.0
840,typee,bookwolf,34,0,0.0
841,typee,cliffnotes,34,0,0.0
842,typee,gradesaver,34,0,0.0
843,typee,novelguide,34,0,0.0
844,typee,pinkmonkey,34,3,0.08823529411764706
845,typee,shmoop,34,34,1.0
846,typee,sparknotes,34,32,0.9411764705882353
847,typee,thebestnotes,34,0,0.0
848,anne of green gables,bookwolf,38,0,0.0
849,anne of green gables,cliffnotes,38,0,0.0
850,anne of green gables,gradesaver,38,38,1.0
851,anne of green gables,novelguide,38,0,0.0
852,anne of green gables,pinkmonkey,38,0,0.0
853,anne of green gables,shmoop,38,38,1.0
854,anne of green gables,sparknotes,38,38,1.0
855,anne of green gables,thebestnotes,38,0,0.0
856,a little princess,bookwolf,19,0,0.0
857,a little princess,cliffnotes,19,0,0.0
858,a little princess,gradesaver,19,19,1.0
859,a little princess,novelguide,19,0,0.0
860,a little princess,pinkmonkey,19,0,0.0
861,a little princess,shmoop,19,19,1.0
862,a little princess,sparknotes,19,0,0.0
863,a little princess,thebestnotes,19,0,0.0
864,regeneration,bookwolf,23,0,0.0
865,regeneration,cliffnotes,23,0,0.0
866,regeneration,gradesaver,23,23,1.0
867,regeneration,novelguide,23,0,0.0
868,regeneration,pinkmonkey,23,0,0.0
869,regeneration,shmoop,23,0,0.0
870,regeneration,sparknotes,23,23,1.0
871,regeneration,thebestnotes,23,0,0.0
872,therese raquin,bookwolf,32,0,0.0
873,therese raquin,cliffnotes,32,0,0.0
874,therese raquin,gradesaver,32,32,1.0
875,therese raquin,novelguide,32,0,0.0
876,therese raquin,pinkmonkey,32,0,0.0
877,therese raquin,shmoop,32,0,0.0
878,therese raquin,sparknotes,32,0,0.0
879,therese raquin,thebestnotes,32,0,0.0
880,maggie: a girl of the streets,bookwolf,19,0,0.0
881,maggie: a girl of the streets,cliffnotes,19,0,0.0
882,maggie: a girl of the streets,gradesaver,19,0,0.0
883,maggie: a girl of the streets,novelguide,19,19,1.0
884,maggie: a girl of the streets,pinkmonkey,19,19,1.0
885,maggie: a girl of the streets,shmoop,19,19,1.0
886,maggie: a girl of the streets,sparknotes,19,19,1.0
887,maggie: a girl of the streets,thebestnotes,19,0,0.0
888,the monkey's paw,bookwolf,3,0,0.0
889,the monkey's paw,cliffnotes,3,0,0.0
890,the monkey's paw,gradesaver,3,3,1.0
891,the monkey's paw,novelguide,3,0,0.0
892,the monkey's paw,pinkmonkey,3,0,0.0
893,the monkey's paw,shmoop,3,3,1.0
894,the monkey's paw,sparknotes,3,0,0.0
895,the monkey's paw,thebestnotes,3,0,0.0
896,the mysteries of udolpho,bookwolf,57,0,0.0
897,the mysteries of udolpho,cliffnotes,57,0,0.0
898,the mysteries of udolpho,gradesaver,57,0,0.0
899,the mysteries of udolpho,novelguide,57,0,0.0
900,the mysteries of udolpho,pinkmonkey,57,0,0.0
901,the mysteries of udolpho,shmoop,57,57,1.0
902,the mysteries of udolpho,sparknotes,57,0,0.0
903,the mysteries of udolpho,thebestnotes,57,0,0.0
904,twelve years a slave,bookwolf,22,0,0.0
905,twelve years a slave,cliffnotes,22,0,0.0
906,twelve years a slave,gradesaver,22,22,1.0
907,twelve years a slave,novelguide,22,0,0.0
908,twelve years a slave,pinkmonkey,22,0,0.0
909,twelve years a slave,shmoop,22,0,0.0
910,twelve years a slave,sparknotes,22,0,0.0
911,twelve years a slave,thebestnotes,22,0,0.0
912,the rise of silas lapham,bookwolf,27,0,0.0
913,the rise of silas lapham,cliffnotes,27,27,1.0
914,the rise of silas lapham,gradesaver,27,27,1.0
915,the rise of silas lapham,novelguide,27,0,0.0
916,the rise of silas lapham,pinkmonkey,27,0,0.0
917,the rise of silas lapham,shmoop,27,0,0.0
918,the rise of silas lapham,sparknotes,27,0,0.0
919,the rise of silas lapham,thebestnotes,27,0,0.0
920,the good soldier,bookwolf,18,0,0.0
921,the good soldier,cliffnotes,18,0,0.0
922,the good soldier,gradesaver,18,0,0.0
923,the good soldier,novelguide,18,0,0.0
924,the good soldier,pinkmonkey,18,0,0.0
925,the good soldier,shmoop,18,0,0.0
926,the good soldier,sparknotes,18,18,1.0
927,the good soldier,thebestnotes,18,0,0.0
928,the red badge of courage,bookwolf,24,0,0.0
929,the red badge of courage,cliffnotes,24,24,1.0
930,the red badge of courage,gradesaver,24,24,1.0
931,the red badge of courage,novelguide,24,0,0.0
932,the red badge of courage,pinkmonkey,24,0,0.0
933,the red badge of courage,shmoop,24,24,1.0
934,the red badge of courage,sparknotes,24,24,1.0
935,the red badge of courage,thebestnotes,24,0,0.0
936,o pioneers,bookwolf,30,0,0.0
937,o pioneers,cliffnotes,30,0,0.0
938,o pioneers,gradesaver,30,28,0.9333333333333333
939,o pioneers,novelguide,30,0,0.0
940,o pioneers,pinkmonkey,30,0,0.0
941,o pioneers,shmoop,30,30,1.0
942,o pioneers,sparknotes,30,30,1.0
943,o pioneers,thebestnotes,30,0,0.0
944,the mill on the floss,bookwolf,58,0,0.0
945,the mill on the floss,cliffnotes,58,58,1.0
946,the mill on the floss,gradesaver,58,58,1.0
947,the mill on the floss,novelguide,58,0,0.0
948,the mill on the floss,pinkmonkey,58,0,0.0
949,the mill on the floss,shmoop,58,58,1.0
950,the mill on the floss,sparknotes,58,0,0.0
951,the mill on the floss,thebestnotes,58,0,0.0
952,henry viii,bookwolf,17,0,0.0
953,henry viii,cliffnotes,17,0,0.0
954,henry viii,gradesaver,17,0,0.0
955,henry viii,novelguide,17,13,0.7647058823529411
956,henry viii,pinkmonkey,17,17,1.0
957,henry viii,shmoop,17,17,1.0
958,henry viii,sparknotes,17,16,0.9411764705882353
959,henry viii,thebestnotes,17,0,0.0
960,the time machine,bookwolf,12,0,0.0
961,the time machine,cliffnotes,12,0,0.0
962,the time machine,gradesaver,12,12,1.0
963,the time machine,novelguide,12,0,0.0
964,the time machine,pinkmonkey,12,0,0.0
965,the time machine,shmoop,12,12,1.0
966,the time machine,sparknotes,12,12,1.0
967,the time machine,thebestnotes,12,0,0.0
968,kim,bookwolf,15,0,0.0
969,kim,cliffnotes,15,0,0.0
970,kim,gradesaver,15,0,0.0
971,kim,novelguide,15,0,0.0
972,kim,pinkmonkey,15,0,0.0
973,kim,shmoop,15,15,1.0
974,kim,sparknotes,15,0,0.0
975,kim,thebestnotes,15,0,0.0
976,the valley of fear,bookwolf,11,0,0.0
977,the valley of fear,cliffnotes,11,0,0.0
978,the valley of fear,gradesaver,11,11,1.0
979,the valley of fear,novelguide,11,0,0.0
980,the valley of fear,pinkmonkey,11,0,0.0
981,the valley of fear,shmoop,11,0,0.0
982,the valley of fear,sparknotes,11,0,0.0
983,the valley of fear,thebestnotes,11,0,0.0
984,news from nowhere,bookwolf,32,0,0.0
985,news from nowhere,cliffnotes,32,0,0.0
986,news from nowhere,gradesaver,32,32,1.0
987,news from nowhere,novelguide,32,0,0.0
988,news from nowhere,pinkmonkey,32,0,0.0
989,news from nowhere,shmoop,32,0,0.0
990,news from nowhere,sparknotes,32,0,0.0
991,news from nowhere,thebestnotes,32,0,0.0
992,the way of all flesh,bookwolf,89,0,0.0
993,the way of all flesh,cliffnotes,89,89,1.0
994,the way of all flesh,gradesaver,89,0,0.0
995,the way of all flesh,novelguide,89,0,0.0
996,the way of all flesh,pinkmonkey,89,0,0.0
997,the way of all flesh,shmoop,89,0,0.0
998,the way of all flesh,sparknotes,89,0,0.0
999,the way of all flesh,thebestnotes,89,0,0.0
1000,little dorrit,bookwolf,71,0,0.0
1001,little dorrit,cliffnotes,71,0,0.0
1002,little dorrit,gradesaver,71,70,0.9859154929577465
1003,little dorrit,novelguide,71,0,0.0
1004,little dorrit,pinkmonkey,71,0,0.0
1005,little dorrit,shmoop,71,71,1.0
1006,little dorrit,sparknotes,71,0,0.0
1007,little dorrit,thebestnotes,71,0,0.0
1008,incidents in the life of a slave girl,bookwolf,41,0,0.0
1009,incidents in the life of a slave girl,cliffnotes,41,41,1.0
1010,incidents in the life of a slave girl,gradesaver,41,41,1.0
1011,incidents in the life of a slave girl,novelguide,41,0,0.0
1012,incidents in the life of a slave girl,pinkmonkey,41,0,0.0
1013,incidents in the life of a slave girl,shmoop,41,41,1.0
1014,incidents in the life of a slave girl,sparknotes,41,0,0.0
1015,incidents in the life of a slave girl,thebestnotes,41,0,0.0
1016,henry iv part 2,bookwolf,17,0,0.0
1017,henry iv part 2,cliffnotes,17,0,0.0
1018,henry iv part 2,gradesaver,17,17,1.0
1019,henry iv part 2,novelguide,17,14,0.8235294117647058
1020,henry iv part 2,pinkmonkey,17,0,0.0
1021,henry iv part 2,shmoop,17,14,0.8235294117647058
1022,henry iv part 2,sparknotes,17,16,0.9411764705882353
1023,henry iv part 2,thebestnotes,17,0,0.0
1024,macbeth,bookwolf,26,24,0.9230769230769231
1025,macbeth,cliffnotes,26,26,1.0
1026,macbeth,gradesaver,26,26,1.0
1027,macbeth,novelguide,26,22,0.8461538461538461
1028,macbeth,pinkmonkey,26,25,0.9615384615384616
1029,macbeth,shmoop,26,26,1.0
1030,macbeth,sparknotes,26,26,1.0
1031,macbeth,thebestnotes,26,0,0.0
1032,troilus and cressida,bookwolf,25,0,0.0
1033,troilus and cressida,cliffnotes,25,0,0.0
1034,troilus and cressida,gradesaver,25,23,0.92
1035,troilus and cressida,novelguide,25,0,0.0
1036,troilus and cressida,pinkmonkey,25,25,1.0
1037,troilus and cressida,shmoop,25,25,1.0
1038,troilus and cressida,sparknotes,25,22,0.88
1039,troilus and cressida,thebestnotes,25,0,0.0
1040,richard ii,bookwolf,19,0,0.0
1041,richard ii,cliffnotes,19,18,0.9473684210526315
1042,richard ii,gradesaver,19,18,0.9473684210526315
1043,richard ii,novelguide,19,18,0.9473684210526315
1044,richard ii,pinkmonkey,19,18,0.9473684210526315
1045,richard ii,shmoop,19,18,0.9473684210526315
1046,richard ii,sparknotes,19,19,1.0
1047,richard ii,thebestnotes,19,0,0.0
1048,king john,bookwolf,17,0,0.0
1049,king john,cliffnotes,17,0,0.0
1050,king john,gradesaver,17,0,0.0
1051,king john,novelguide,17,0,0.0
1052,king john,pinkmonkey,17,0,0.0
1053,king john,shmoop,17,16,0.9411764705882353
1054,king john,sparknotes,17,17,1.0
1055,king john,thebestnotes,17,0,0.0
1056,henry vi part 1,bookwolf,25,0,0.0
1057,henry vi part 1,cliffnotes,25,0,0.0
1058,henry vi part 1,gradesaver,25,0,0.0
1059,henry vi part 1,novelguide,25,19,0.76
1060,henry vi part 1,pinkmonkey,25,0,0.0
1061,henry vi part 1,shmoop,25,22,0.88
1062,henry vi part 1,sparknotes,25,25,1.0
1063,henry vi part 1,thebestnotes,25,0,0.0
1064,richard iii,bookwolf,9,0,0.0
1065,richard iii,cliffnotes,9,5,0.5555555555555556
1066,richard iii,gradesaver,9,5,0.5555555555555556
1067,richard iii,novelguide,9,5,0.5555555555555556
1068,richard iii,pinkmonkey,9,0,0.0
1069,richard iii,shmoop,9,5,0.5555555555555556
1070,richard iii,sparknotes,9,9,1.0
1071,richard iii,thebestnotes,9,0,0.0
1072,henry v,bookwolf,5,0,0.0
1073,henry v,cliffnotes,5,1,0.2
1074,henry v,gradesaver,5,5,1.0
1075,henry v,novelguide,5,4,0.8
1076,henry v,pinkmonkey,5,0,0.0
1077,henry v,shmoop,5,1,0.2
1078,henry v,sparknotes,5,0,0.0
1079,henry v,thebestnotes,5,0,0.0
1080,every man in his humour,bookwolf,12,0,0.0
1081,every man in his humour,cliffnotes,12,0,0.0
1082,every man in his humour,gradesaver,12,12,1.0
1083,every man in his humour,novelguide,12,0,0.0
1084,every man in his humour,pinkmonkey,12,0,0.0
1085,every man in his humour,shmoop,12,0,0.0
1086,every man in his humour,sparknotes,12,0,0.0
1087,every man in his humour,thebestnotes,12,0,0.0
1088,titus andronicus,bookwolf,14,0,0.0
1089,titus andronicus,cliffnotes,14,0,0.0
1090,titus andronicus,gradesaver,14,14,1.0
1091,titus andronicus,novelguide,14,0,0.0
1092,titus andronicus,pinkmonkey,14,14,1.0
1093,titus andronicus,shmoop,14,14,1.0
1094,titus andronicus,sparknotes,14,14,1.0
1095,titus andronicus,thebestnotes,14,0,0.0
1096,julius caesar,bookwolf,18,18,1.0
1097,julius caesar,cliffnotes,18,18,1.0
1098,julius caesar,gradesaver,18,17,0.9444444444444444
1099,julius caesar,novelguide,18,17,0.9444444444444444
1100,julius caesar,pinkmonkey,18,18,1.0
1101,julius caesar,shmoop,18,18,1.0
1102,julius caesar,sparknotes,18,7,0.3888888888888889
1103,julius caesar,thebestnotes,18,0,0.0
1104,love's labour's lost,bookwolf,9,0,0.0
1105,love's labour's lost,cliffnotes,9,9,1.0
1106,love's labour's lost,gradesaver,9,0,0.0
1107,love's labour's lost,novelguide,9,9,1.0
1108,love's labour's lost,pinkmonkey,9,9,1.0
1109,love's labour's lost,shmoop,9,9,1.0
1110,love's labour's lost,sparknotes,9,5,0.5555555555555556
1111,love's labour's lost,thebestnotes,9,0,0.0
1112,two gentlemen of verona,bookwolf,20,0,0.0
1113,two gentlemen of verona,cliffnotes,20,20,1.0
1114,two gentlemen of verona,gradesaver,20,0,0.0
1115,two gentlemen of verona,novelguide,20,0,0.0
1116,two gentlemen of verona,pinkmonkey,20,0,0.0
1117,two gentlemen of verona,shmoop,20,17,0.85
1118,two gentlemen of verona,sparknotes,20,18,0.9
1119,two gentlemen of verona,thebestnotes,20,0,0.0
1120,second treatise of government,bookwolf,14,0,0.0
1121,second treatise of government,cliffnotes,14,0,0.0
1122,second treatise of government,gradesaver,14,14,1.0
1123,second treatise of government,novelguide,14,0,0.0
1124,second treatise of government,pinkmonkey,14,0,0.0
1125,second treatise of government,shmoop,14,0,0.0
1126,second treatise of government,sparknotes,14,0,0.0
1127,second treatise of government,thebestnotes,14,0,0.0
1128,she stoops to conquer,bookwolf,5,0,0.0
1129,she stoops to conquer,cliffnotes,5,0,0.0
1130,she stoops to conquer,gradesaver,5,5,1.0
1131,she stoops to conquer,novelguide,5,0,0.0
1132,she stoops to conquer,pinkmonkey,5,0,0.0
1133,she stoops to conquer,shmoop,5,0,0.0
1134,she stoops to conquer,sparknotes,5,0,0.0
1135,she stoops to conquer,thebestnotes,5,0,0.0
1136,the wonderful wizard of oz,bookwolf,24,0,0.0
1137,the wonderful wizard of oz,cliffnotes,24,0,0.0
1138,the wonderful wizard of oz,gradesaver,24,20,0.8333333333333334
1139,the wonderful wizard of oz,novelguide,24,0,0.0
1140,the wonderful wizard of oz,pinkmonkey,24,0,0.0
1141,the wonderful wizard of oz,shmoop,24,24,1.0
1142,the wonderful wizard of oz,sparknotes,24,0,0.0
1143,the wonderful wizard of oz,thebestnotes,24,0,0.0
1144,pygmalion,bookwolf,5,0,0.0
1145,pygmalion,cliffnotes,5,5,1.0
1146,pygmalion,gradesaver,5,5,1.0
1147,pygmalion,novelguide,5,4,0.8
1148,pygmalion,pinkmonkey,5,5,1.0
1149,pygmalion,shmoop,5,5,1.0
1150,pygmalion,sparknotes,5,5,1.0
1151,pygmalion,thebestnotes,5,0,0.0
1152,twelfth night,bookwolf,19,0,0.0
1153,twelfth night,cliffnotes,19,18,0.9473684210526315
1154,twelfth night,gradesaver,19,19,1.0
1155,twelfth night,novelguide,19,0,0.0
1156,twelfth night,pinkmonkey,19,0,0.0
1157,twelfth night,shmoop,19,0,0.0
1158,twelfth night,sparknotes,19,16,0.8421052631578947
1159,twelfth night,thebestnotes,19,0,0.0
1160,a doll's house,bookwolf,3,0,0.0
1161,a doll's house,cliffnotes,3,3,1.0
1162,a doll's house,gradesaver,3,3,1.0
1163,a doll's house,novelguide,3,3,1.0
1164,a doll's house,pinkmonkey,3,0,0.0
1165,a doll's house,shmoop,3,3,1.0
1166,a doll's house,sparknotes,3,0,0.0
1167,a doll's house,thebestnotes,3,0,0.0
1168,the boxcar children,bookwolf,13,0,0.0
1169,the boxcar children,cliffnotes,13,0,0.0
1170,the boxcar children,gradesaver,13,0,0.0
1171,the boxcar children,novelguide,13,0,0.0
1172,the boxcar children,pinkmonkey,13,0,0.0
